X,Y,OBJECTID_1,GIS_ID,NAME,WEB_URL,EXIT_TO_ST,FEATURECOD,DESCRIPTIO,CAPTUREYEA,LINE,ADDRESS_ID
-76.946750672101714,38.898762647363583,24,mstn_025,Minnesota Ave,http://www.wmata.com/rail/station_detail.cfm?station_id=64,NW SIDE OF MINNESOTA AVENUE NE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,orange,294856
-77.02681716120378,38.898163801523836,25,mstn_024,Metro Center,http://www.wmata.com/rail/station_detail.cfm?station_id=1,SE CORNER OF G STREET NW AND 11TH STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"red, blue, orange",294812
-77.007202074090259,38.897492192704618,26,mstn_037,Union Station,http://www.wmata.com/rail/station_detail.cfm?station_id=25,NE CORNER OF 1ST STREET NE AND MASSACHUSETTS AVENUE NE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294849
-77.015987031673106,38.895321817776299,27,mstn_021,Judiciary Sq,http://www.wmata.com/rail/station_detail.cfm?station_id=23,NE CORNER OF 4TH STREET NW AND INDIANA AVENUE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294829
-77.028658008467275,38.893810314188819,28,mstn_015,Federal Triangle,http://www.wmata.com/rail/station_detail.cfm?station_id=53,RONALD REAGAN BUILDING - WEST SIDE OF 12TH STREET NW BETWEEN PENNSYLVANIA AVENUE NW AND CONSTITUTION AVENUE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294809
-77.022439658900183,38.893944169453682,29,mstn_027,Archives | Navy Mem,http://www.wmata.com/rail/station_detail.cfm?station_id=81,NW CORNER OF 7TH STREET NW AND PENNSYLVANIA AVENUE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green,yellow",294835
-77.021577494843342,38.886254898940749,30,mstn_022,LEnfant Plaza,http://www.wmata.com/rail/station_detail.cfm?station_id=82,SE CORNER OF 7TH STREET SW AND MARYLAND AVENUE SW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green, yellow, orange, blue",294875
-77.028456629995517,38.887254869205101,31,mstn_033,Smithsonian,http://www.wmata.com/rail/station_detail.cfm?station_id=54,SW CORNER OF INDEPENDENCE AVENUE SW AND 12TH STREET SW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294876
-76.977045780664568,38.885663092807725,32,mstn_034,Stadium | Armory,http://www.wmata.com/rail/station_detail.cfm?station_id=63,NE CORNER OF 19TH STREET SE AND C STREET SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294863
-77.006054623143214,38.885569792133793,33,mstn_004,Capitol South,http://www.wmata.com/rail/station_detail.cfm?station_id=59,WEST SIDE OF 1ST STREET SE BETWEEN C STREET SE AND D STREET SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294860
-76.995815295987583,38.884252866505847,34,mstn_011,Eastern Market,http://www.wmata.com/rail/station_detail.cfm?station_id=60,SOUTH SIDE OF PENNSYLVANIA AVENUE SE BETWEEN 7TH STREET SE AND 8TH STREET SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294870
-76.985173690169702,38.880846532637847,35,mstn_030,Potomac Ave,http://www.wmata.com/rail/station_detail.cfm?station_id=61,NE CORNER OF 14TH STREET SE AND POTOMAC AVENUE SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294861
-77.00449748290545,38.876676752608475,36,mstn_028,Navy Yard-Ballpark,http://www.wmata.com/rail/station_detail.cfm?station_id=84,NW CORNER OF NEW JERSEY AVENUE SE AND M STREET SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,green,294869
-77.017557564241343,38.876962022232696,37,mstn_039,Waterfront,http://www.wmata.com/rail/station_detail.cfm?station_id=83,NE CORNER OF M STREET SW AND 4TH STREET SW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,green,294877
-77.085005757497541,38.958902212966073,38,mstn_018,Friendship Heights Elevator,http://www.wmata.com/rail/station_detail.cfm?station_id=11,WEST SIDE OF WISCONSIN AVENUE NW BETWEEN JENIFER STREET NW AND INGOMAR STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294847
-77.021749155563384,38.897845473117094,39,mstn_019,Gallery Pl | Chinatown Elevator,http://www.wmata.com/rail/station_detail.cfm?station_id=21,NE CORNER OF 7TH STREET NW AND F STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"red, green, yellow",294833
-77.017452500690837,38.896829713881566,40,mstn_021,Judiciary Sq NE Elevator,http://www.wmata.com/rail/station_detail.cfm?station_id=23,SOUTH SIDE OF F STREET NW BETWEEN 4TH STREET NW AND 5TH STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294829
-77.017656541061456,38.896653702540377,41,mstn_021,Judiciary Sq SW Elevator,http://www.wmata.com/rail/station_detail.cfm?station_id=23,SOUTH SIDE OF F STREET NW BETWEEN 4TH STREET NW AND 5TH STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294829
-77.022100012014604,38.885985398230893,42,mstn_022,LEnfant Plaza Elevator,http://www.wmata.com/rail/station_detail.cfm?station_id=82,SW CORNER OF 7TH STREET SW AND MARYLAND AVENUE SW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green, yellow, orange, blue",294875
-76.985107975447534,38.881071083750982,43,mstn_030,Potomac Ave Elevator,http://www.wmata.com/rail/station_detail.cfm?station_id=61,SE CORNER OF 14TH STREET SE ANDG STREET SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294861
-77.028535901562222,38.887756963490283,44,mstn_033,Smithsonian Elevator,http://www.wmata.com/rail/station_detail.cfm?station_id=54,NW CORNER OF INDEPENDENCE AVENUE SW AND 12TH STREET SW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294876
-76.977154106597894,38.885928715526042,45,mstn_034,Stadium | Armory Elevator,http://www.wmata.com/rail/station_detail.cfm?station_id=63,SE CORNER OF 19TH STREET SE AND BURKE STREET SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294863
-77.017823974562191,38.975888909228708,46,mstn_035,Takoma Elevator,http://www.wmata.com/rail/station_detail.cfm?station_id=29,NE SIDE OF CEDAR STREET NW AND BLAIR ROAD NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294822
-77.063580987588708,38.943970191406528,47,mstn_038,Van Ness | UDC Elevator,http://www.wmata.com/rail/station_detail.cfm?station_id=9,SW CORNER OF CONNECTICUT AVENUE AND VEAZEY STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294824
-77.052876222192893,38.925457070912692,48,mstn_040,Woodley Park Zoo | Adams Morgan Elevator,http://www.wmata.com/rail/station_detail.cfm?station_id=7,SW CORNER OF CONNECTICUT AVENUE NW AND WOODLEY STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294827
-76.995070066083215,38.862298360324679,49,mstn_001,Anacostia,http://www.wmata.com/rail/station_detail.cfm?station_id=85,INTERSECTION OF HOWARD ROAD SE AND SHANNON PLACE SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,green,294867
-77.00722876066969,38.898399522448969,50,mstn_037,Union Station,http://www.wmata.com/rail/station_detail.cfm?station_id=25,EAST OF 1ST STREET NE AND MASSACHUSETTS AVENUE NE AND G STREET NE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294849
-77.017525276719041,38.897059761435052,51,mstn_021,Judiciary Sq,http://www.wmata.com/rail/station_detail.cfm?station_id=23,SOUTH SIDE OF F STREET NW BETWEEN 4TH STREET NW AND 5TH STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294829
-77.032429694346845,38.928876254911437,52,mstn_007,Columbia Heights,http://www.wmata.com/rail/station_detail.cfm?station_id=75,NE CORNER OF IRVING STREET NW AND 14TH STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green,yellow",294815
-77.023485445075224,38.884253156179533,53,mstn_022,LEnfant Plaza,http://www.wmata.com/rail/station_detail.cfm?station_id=82,SE CORNER OF 9TH STREET SW AND D STREET SW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green, yellow, orange, blue",294875
-76.977065187054436,38.888290778402357,54,mstn_034,Stadium | Armory,http://www.wmata.com/rail/station_detail.cfm?station_id=63,NE CORNER OF 19TH STREET SE AND INDEPENDENCE AVENUE SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294863
-77.085402122521359,38.960748048781049,55,mstn_018,Friendship Heights,http://www.wmata.com/rail/station_detail.cfm?station_id=11,NE CORNER OF WISCONSIN AVENUE NW AND WESTERN AVENUE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294847
-76.947124845093896,38.899310714979734,56,mstn_025,Minnesota Ave,http://www.wmata.com/rail/station_detail.cfm?station_id=64,SW SIDE OF KENILWORTH AVENUE NE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,orange,294856
