X,Y,OBJECTID,LINE,STOP,POINT_X,POINT_Y
-77.071560436001135,38.897327435437887,1,Dupont Circle - Rosslyn,ROSSLYN METRO STATION,393792.53862,136610.1941875
-77.067421482606107,38.904988317871343,2,Dupont Circle - Rosslyn,M STREET AND 34TH STREET NW,394152.2088125,137460.34
-77.060472371974043,38.905116104624511,3,Dupont Circle - Rosslyn,M STREET AND THOMAS JEFFERSON STREET NW,394754.737375,137476.4203125
-77.062694918223841,38.904960725796059,4,Georgetown - Union Station,WISCONSIN AVENUE AND M STREET NW,394562.1783125,137456.98487
-77.06253654251536,38.902687850390635,5,Georgetown - Union Station,(LOWER) K STREET AND WISCONSIN AVENUE NW,394622.2723125,137202.319125
-77.058832895132639,38.902719175850592,6,Georgetown - Union Station,30TH STREET AND (LOWER) K STREET NW,394897.0013125,137207.9318125
-77.008014133150326,38.896861604934458,7,Union Station - Navy Yard,1ST STREET AND MASSACHUSETTS AVENUE NE,399301.0356875,136560.9473125
-76.995086970419734,38.883471381500641,8,"Potomac Ave Metro to Skyland; Union Station - Navy Yard",8TH STREET AND D STREET SE,400426.47187,135069.6423125
-76.994739421173293,38.881095326216162,9,"Union Station - Navy Yard; Potomac Ave to Skyland",8TH STREET AND G STREET SE,400445.2383125,134804.0288125
-76.985390634931036,38.866888774171755,10,Potomac Ave Metro to Skyland,GOOD HOPE ROAD AND 14TH STREET SE,401284.353375,133225.9271875
-77.051836096700669,38.905359067718635,11,Dupont Circle - Rosslyn,M STREET AND 24TH STREET NW,395573.0048125,137500.1996875
-77.024452634077804,38.901858204887759,12,Georgetown - Union Station,NEW YORK AVENUE AND 9TH STREET NW,397879.1378125,137110.9966875
-76.995151766014203,38.877110600585603,13,Potomac Ave Metro to Skyland,8TH STREET AND L STREET SE,400426.2365,134436.5616875
-76.978751702525159,38.865559066879015,14,Potomac Ave Metro to Skyland,GOOD HOPE ROAD AND 18TH STREET SE,401814.4498125,133088.3921875
-76.964978401749505,38.860555645361757,15,Potomac Ave Metro to Skyland,ALABAMA AVENUE AND 30TH STREET SE,403039.785875,132526.396375
-76.969560761923361,38.861494431201727,16,Potomac Ave Metro to Skyland,GOOD HOPE ROAD AND 25TH STREET SE,402642.0398125,132630.4658125
-76.99487466405553,38.8778594364436,17,"Potomac Ave Metro to Skyland; Union Station - Navy Yard",8TH STREET AND L STREET SE,400444.927375,134446.6746875
-76.994736293184872,38.880982897421859,18,"Potomac Ave Metro to Skyland; Union Station - Navy Yard",8TH STREET AND G STREET SE,400445.7421875,134809.1636875
-76.98998024426713,38.864248624454483,19,Potomac Ave Metro to Skyland,MLK JR BLVD AND W STREET SE,400859.0801875,132913.5513125
-76.99487091878413,38.882818554671324,20,"Potomac Ave Metro to Skyland; Union Station - Navy Yard",8TH STREET AND E STREET SE,400444.98862,134999.2605
-76.994875673383405,38.877806431089361,21,"Union Station - Navy Yard; Potomac Ave to Skyland",8TH STREET AND L STREET SE,400444.84012,134440.7906875
-77.000394317483639,38.876598404190339,22,Union Station - Navy Yard,M STREET AND 4TH STREET SE,399965.9821875,134306.6781875
-77.00074729062942,38.876371263035892,23,Union Station - Navy Yard,M STREET AND 4TH STREET SE,399935.3536875,134281.464
-77.005769970458104,38.878269613583903,24,Union Station - Navy Yard,1ST STREET AND I STREET SE,399499.53612,134492.2108125
-77.003791754044329,38.876372891203296,25,Union Station - Navy Yard,M STREET and NEW JERSEY AVENUE SE,399671.17775,134281.6513125
-77.033051737160022,38.927549338929275,26,Woodley Park - Adams Morgan - McPherson Square,COLUMBIA ROAD AND 14TH STREET NW,397129.619125,139963.162
-77.032885512750482,38.928729258246165,27,Woodley Park - Adams Morgan - McPherson Square,IRVING STREET AND 14TH STREET NW,397146.871125,140095.5266875
-77.040067484672775,38.924528078326858,28,Woodley Park - Adams Morgan - McPherson Square,COLUMBIA ROAD AND ONTARIO ROAD NW,396523.692,139627.3243125
-77.042897073438411,38.922893748514468,29,Woodley Park - Adams Morgan - McPherson Square,CALVERT STREET AND CLIFFBOURNE PLACE NW,396280.3353125,139446.70537
-77.001910785139273,38.887219238752984,30,Union Station - Navy Yard,D STREET AND PENNSYLVANIA AVENUE SE,399834.4195,135485.67362
-77.001717666100987,38.887152429411152,31,Union Station - Navy Yard,PENNSYLVANIA AVENUE AND 3RD STREET SE,399834.4195,135485.67362
-77.048449989739851,38.902102074429919,32,Georgetown - Union Station,PENNSYLVANIA AVENUE AND 22ND STREET NW,395743.853125,137164.1846875
-77.062896025866024,38.906705458536926,33,Georgetown - Union Station,N STREET AND WISCONSIN AVENUE NW,394544.86812,137650.6763125
-77.032505829049654,38.902607830236526,34,Georgetown - Union Station,K STREET AND 14TH STREET NW,397208.5426875,137203.9193125
-77.039224758864108,38.902618975965161,35,Georgetown - Union Station,K STREET AND CONNECTICUT AVENUE NW,396597.81662,137195.8953125
-77.043268773589062,38.902607914260003,36,Georgetown - Union Station,K STREET AND 19TH STREET NW,396245.17462,137195.521875
-77.048934102240011,38.901980866751181,37,Georgetown - Union Station,PENNSYLVANIA AVENUE AND 22ND STREET NW,395727.902125,137134.055
-77.051240249798056,38.90306054647958,38,Georgetown - Union Station,K STREET AND 24TH STREET NW,395555.612625,137245.42962
-77.046719185745431,38.902197296246982,39,Georgetown - Union Station,21ST STREET AND K STREET NW,395947.7211875,137149.3915
-77.067757502924351,38.915905314045574,40,Georgetown - Union Station,WISCONSIN AVENUE AND 34TH STREET NW,394061.6985,138773.7538125
