,ROUTES,Longitude,Latitude,OBJECTID,Text
384,"39,J13,K11",-76.964551,38.871089000000005,2385,"Routes: 39,J13,K11"
385,"36,39,K11,M6,M6C",-76.964474,38.870884000000004,2386,"Routes: 36,39,K11,M6,M6C"
386,"36,K11,M6,M6C",-76.96299,38.870267999999996,2387,"Routes: 36,K11,M6,M6C"
387,"36,J13,K11,M6",-76.962898,38.870406,2388,"Routes: 36,J13,K11,M6"
388,K11,-76.958839,38.868581,2389,Routes: K11
389,"32,34,36,C40",-77.001692,38.887127,2390,"Routes: 32,34,36,C40"
390,"32,34,36,C40",-77.000012,38.886448,2391,"Routes: 32,34,36,C40"
391,G12,-76.863609,38.962281,2392,Routes: G12
392,"G12,G12V1",-76.86386999999999,38.962526000000004,2393,"Routes: G12,G12V1"
393,G12,-76.864207,38.964713,2394,Routes: G12
394,"G12,G12V1",-76.864474,38.965012,2395,"Routes: G12,G12V1"
395,"G12,G12V1",-76.866691,38.977687,2396,"Routes: G12,G12V1"
396,"G12,G12V1",-76.865695,38.970166,2397,"Routes: G12,G12V1"
397,G12,-76.865462,38.969881,2398,Routes: G12
398,G12,-76.866449,38.977236,2399,Routes: G12
399,"G12,G12V1",-76.866104,38.973191,2400,"Routes: G12,G12V1"
400,G12,-76.86592900000001,38.973335999999996,2401,Routes: G12
401,F12,-76.864451,38.949867,2402,Routes: F12
402,F12,-76.86309,38.949978,2403,Routes: F12
403,F12,-76.86573100000001,38.950187,2404,Routes: F12
404,,-77.069828,38.905833,2405,
405,,-77.236311,38.879343,2406,
406,,-77.236075,38.879197999999995,2407,
407,,-77.236624,38.876881,2408,
408,,-77.236367,38.877089,2409,
409,W19,-77.17035,38.599379,2410,Routes: W19
410,"D1,D2,D6",-77.052749,38.91056,2411,"Routes: D1,D2,D6"
411,"D1,D2,D2V1,D3,D6,D6V1",-77.053269,38.910659,2412,"Routes: D1,D2,D2V1,D3,D6,D6V1"
412,"D1,D2,D6",-77.04900500000001,38.911085,2413,"Routes: D1,D2,D6"
413,"D1,D2,D2V1,D3,D6,D6V1",-77.050439,38.911196999999994,2414,"Routes: D1,D2,D2V1,D3,D6,D6V1"
414,"D1,D2,D6",-77.05517900000001,38.910513,2415,"Routes: D1,D2,D6"
415,"D1,D2,D2V1,D3,D6,D6V1",-77.054783,38.910641,2416,"Routes: D1,D2,D2V1,D3,D6,D6V1"
416,"D1,D2,D2V1,D3,D6,D6V1",-77.057004,38.910598,2417,"Routes: D1,D2,D2V1,D3,D6,D6V1"
417,"D1,D2,D6",-77.057414,38.910492,2418,"Routes: D1,D2,D6"
418,"D1,D2,D2V1,D3,D6,D6V1",-77.059599,38.91057,2419,"Routes: D1,D2,D2V1,D3,D6,D6V1"
419,"D1,D2,D6",-77.058962,38.910478999999995,2420,"Routes: D1,D2,D6"
420,"D1,D2,D6",-77.061642,38.910436,2421,"Routes: D1,D2,D6"
421,"D1,D2,D2V1,D3,D6,D6V1",-77.062348,38.910532,2422,"Routes: D1,D2,D2V1,D3,D6,D6V1"
422,"D1,D2,D2V1,D3,D6,D6V1",-77.068952,38.910758,2423,"Routes: D1,D2,D2V1,D3,D6,D6V1"
423,"D2,D2V1",-77.044599,38.911106,2424,"Routes: D2,D2V1"
424,D6,-77.083991,38.910559,2425,Routes: D6
425,D6,-77.085853,38.909448,2426,Routes: D6
426,3A,-77.199017,38.839515000000006,2427,Routes: 3A
427,3A,-77.199106,38.8392,2428,Routes: 3A
428,3A,-77.20079,38.84343,2429,Routes: 3A
429,3A,-77.200624,38.843488,2430,Routes: 3A
430,"B24,B25,B27,F13,F13V1,F13V2,F4,G12,G13,G14,G16",-76.874797,38.954534,2431,"Routes: B24,B25,B27,F13,F13V1,F13V2,F4,G12,G13,G14,G16"
431,"B24,B27,F13,F4,F4V1,G12,G12V1,G13,G14,G14V1,G16,G16V1",-76.875138,38.95467,2432,"Routes: B24,B27,F13,F4,F4V1,G12,G12V1,G13,G14,G14V1,G16,G16V1"
432,"F1,F2,F2V1,F8,T18",-76.93990600000001,38.939048,2433,"Routes: F1,F2,F2V1,F8,T18"
433,"F1,F2,F2C,F8,T18",-76.940104,38.939315,2434,"Routes: F1,F2,F2C,F8,T18"
434,"F1,F2,F2C,F8,T18",-76.936758,38.939403000000006,2435,"Routes: F1,F2,F2C,F8,T18"
435,"F1,F2,F2V1,F8,T18",-76.935702,38.939262,2436,"Routes: F1,F2,F2V1,F8,T18"
436,"F1,F2,F2C,F8,T18",-76.929022,38.939679999999996,2437,"Routes: F1,F2,F2C,F8,T18"
437,"F1,F2,F2V1,F8,T18",-76.92949,38.939513,2438,"Routes: F1,F2,F2V1,F8,T18"
438,"F1,F2,F2V1,F8,T18",-76.92703,38.939009999999996,2439,"Routes: F1,F2,F2V1,F8,T18"
439,"F1,F2,F2C,F8,T18",-76.926789,38.93916,2440,"Routes: F1,F2,F2C,F8,T18"
440,T18,-76.921547,38.938963,2441,Routes: T18
441,T18,-76.921701,38.939203000000006,2442,Routes: T18
442,T18,-76.917727,38.9396,2443,Routes: T18
443,"A12,A12V4,T18,W4",-76.910531,38.938942,2444,"Routes: A12,A12V4,T18,W4"
444,"A12,A12V2,A12V4,T18,W4",-76.910645,38.938621999999995,2445,"Routes: A12,A12V2,A12V4,T18,W4"
445,"A12,A12V2,A12V4,T18,W4",-76.9069,38.939215000000004,2446,"Routes: A12,A12V2,A12V4,T18,W4"
446,"A12,A12V4,T18,W4",-76.90655699999999,38.939871000000004,2447,"Routes: A12,A12V4,T18,W4"
447,"F13,T18",-76.902314,38.943205,2448,"Routes: F13,T18"
448,"F13,F13V1,T18",-76.901567,38.943477,2449,"Routes: F13,F13V1,T18"
449,"F13,F13V1,T18",-76.898516,38.945077000000005,2450,"Routes: F13,F13V1,T18"
450,"F13,T18",-76.897018,38.945767,2451,"Routes: F13,T18"
451,"F13,T18",-76.894607,38.94642,2452,"Routes: F13,T18"
452,"F13,F13V1,T18",-76.894257,38.94623,2453,"Routes: F13,F13V1,T18"
453,"F13,F13V1,T18",-76.89214100000001,38.94681,2454,"Routes: F13,F13V1,T18"
454,"F13,F13V1,T18",-76.884567,38.951984,2455,"Routes: F13,F13V1,T18"
455,"F13,T18",-76.884477,38.952404,2456,"Routes: F13,T18"
456,"F13,F13V1,T18",-76.88154200000001,38.952241,2457,"Routes: F13,F13V1,T18"
457,"B24,B27,F13,G12,G12V1,G13,G14,G14V1,G16,G16V1",-76.870964,38.957011,2458,"Routes: B24,B27,F13,G12,G12V1,G13,G14,G14V1,G16,G16V1"
458,"B24,B25,B27,F13,F13V1,F13V2,G12,G13,G14,G16",-76.86998100000001,38.957209999999996,2459,"Routes: B24,B25,B27,F13,F13V1,F13V2,G12,G13,G14,G16"
459,"F13,T18",-76.887612,38.948809000000004,2460,"Routes: F13,T18"
460,"F13,F13V1,T18",-76.887586,38.948376,2461,"Routes: F13,F13V1,T18"
461,B24,-76.80979,38.956889000000004,2462,Routes: B24
462,"B24,B25",-76.809715,38.956595,2463,"Routes: B24,B25"
463,B24,-76.827045,38.959247999999995,2464,Routes: B24
464,"B24,B25",-76.826307,38.958471,2465,"Routes: B24,B25"
465,,-76.792613,38.965306,2466,
466,,-76.79293100000001,38.965469,2467,
467,"F1,F2,F2V1,F8,T18",-76.931425,38.939440999999995,2468,"Routes: F1,F2,F2V1,F8,T18"
468,"F1,F2,F2C,F8,T18",-76.930711,38.939675,2469,"Routes: F1,F2,F2C,F8,T18"
469,,-76.845555,38.965494,2470,
470,,-76.846307,38.965191,2471,
471,T18,-76.903421,38.94211,2472,Routes: T18
472,T18,-76.903409,38.941596000000004,2473,Routes: T18
473,"B24,B27,F13,F4,F4V1,G12,G12V1,G13,G14,G14V1,G16,G16V1",-76.876768,38.95381,2474,"Routes: B24,B27,F13,F4,F4V1,G12,G12V1,G13,G14,G14V1,G16,G16V1"
474,"B24,B25,B27,F13,F13V1,F13V2,F4,G12,G13,G14,G16",-76.876469,38.953632,2475,"Routes: B24,B25,B27,F13,F13V1,F13V2,F4,G12,G13,G14,G16"
475,"F1,F2,F2V1,F8,T18",-76.933246,38.939358,2476,"Routes: F1,F2,F2V1,F8,T18"
476,"F1,F2,F2C,F8,T18",-76.934027,38.939549,2477,"Routes: F1,F2,F2C,F8,T18"
477,B24,-76.842168,38.964979,2478,Routes: B24
478,"B24,B25",-76.842617,38.96474,2479,"Routes: B24,B25"
479,B24,-76.848502,38.96505,2480,Routes: B24
480,"B24,B25",-76.84841999999999,38.964759,2481,"Routes: B24,B25"
481,B24,-76.832837,38.962647,2482,Routes: B24
482,"B24,B25",-76.83247,38.962219,2483,"Routes: B24,B25"
483,"F13,T18",-76.886245,38.950798999999996,2484,"Routes: F13,T18"
484,"F13,F13V1,T18",-76.886015,38.950493,2485,"Routes: F13,F13V1,T18"
485,"B24,B25",-76.829403,38.960462,2486,"Routes: B24,B25"
486,B24,-76.829557,38.960994,2487,Routes: B24
487,"F13,T18",-76.88121,38.952490999999995,2488,"Routes: F13,T18"
488,B24,-76.812791,38.957082,2489,Routes: B24
489,"B24,B25",-76.812345,38.956781,2490,"Routes: B24,B25"
490,B24,-76.801479,38.959579,2491,Routes: B24
491,"F13,T18",-76.891706,38.94723,2492,"Routes: F13,T18"
492,"B24,B25",-76.85601,38.963705,2493,"Routes: B24,B25"
493,B24,-76.772971,38.972291999999996,2494,Routes: B24
494,"B24,B25",-76.773888,38.972124,2495,"Routes: B24,B25"
495,"B24,B25",-76.784712,38.971719,2496,"Routes: B24,B25"
496,B24,-76.78576600000001,38.97141,2497,Routes: B24
497,B24,-76.815428,38.956915,2498,Routes: B24
498,"B24,B25",-76.815568,38.956557000000004,2499,"Routes: B24,B25"
499,"B24,B27,F13,G12,G13,G14,G14V1,G16,G16V1",-76.862611,38.961968,2500,"Routes: B24,B27,F13,G12,G13,G14,G14V1,G16,G16V1"
500,"B24,B27,F13,F4,F4V1,G12,G12V1,G13,G14,G14V1,G16,G16V1",-76.873688,38.955490000000005,2501,"Routes: B24,B27,F13,F4,F4V1,G12,G12V1,G13,G14,G14V1,G16,G16V1"
501,"F14,F14V1,J11,J12,V14,V14V1,V15",-76.904983,38.885962,2502,"Routes: F14,F14V1,J11,J12,V14,V14V1,V15"
502,"C21,C21V1,C22,C22V1,C29V1,C29V2,C29V4",-76.859262,38.890251,2503,"Routes: C21,C21V1,C22,C22V1,C29V1,C29V2,C29V4"
503,,-77.307614,38.8516,2504,
504,15M,-77.30662099999999,38.846465,2505,Routes: 15M
505,"15K,15L",-77.175065,38.938589,2506,"Routes: 15K,15L"
506,"15M,2T",-77.243238,38.9142,2507,"Routes: 15M,2T"
507,15M,-77.28205,38.887997999999996,2508,Routes: 15M
508,"15M,2T",-77.246725,38.912591,2509,"Routes: 15M,2T"
509,"89,89M,89V1,Z29V2,Z9",-76.862095,39.092375,2510,"Routes: 89,89M,89V1,Z29V2,Z9"
510,"Z29,Z9",-76.854934,39.088844,2511,"Routes: Z29,Z9"
511,"Z29V2,Z9",-76.84913399999999,39.085646000000004,2512,"Routes: Z29V2,Z9"
512,"87,87V1,89,89M,89V1",-76.895292,39.010428000000005,2513,"Routes: 87,87V1,89,89M,89V1"
513,"81,C2,G13,G14,G16,R3",-76.90974200000001,39.002051,2514,"Routes: 81,C2,G13,G14,G16,R3"
514,"F13,F13V1,F8",-76.91436,38.919761,2515,"Routes: F13,F13V1,F8"
515,"F13,F13V1,F8",-76.91295,38.923427000000004,2516,"Routes: F13,F13V1,F8"
516,"F13,F13V1,F8",-76.91280400000001,38.925468,2517,"Routes: F13,F13V1,F8"
517,"F13,F8",-76.91307900000001,38.928075,2518,"Routes: F13,F8"
518,"F13,F8",-76.912791,38.929741,2519,"Routes: F13,F8"
519,"F13,F13V1,F8",-76.913252,38.931303,2520,"Routes: F13,F13V1,F8"
520,"F13,F8",-76.914643,38.933341999999996,2521,"Routes: F13,F8"
521,F8,-76.916067,38.915890000000005,2522,Routes: F8
522,,-77.077066,38.966421000000004,2523,
523,E4,-76.990412,38.956123,2524,Routes: E4
524,"F1,F2,F2V1",-76.99591600000001,38.963534,2525,"Routes: F1,F2,F2V1"
525,"F1,F2,F2V1",-76.990362,38.960294,2526,"Routes: F1,F2,F2V1"
526,"F1,F2,F2V1",-76.98252600000001,38.956216,2527,"Routes: F1,F2,F2V1"
527,"F1,F2,F2V1",-76.99170500000001,38.960999,2528,"Routes: F1,F2,F2V1"
528,"F1,F2",-76.991309,38.960586,2529,"Routes: F1,F2"
529,"F1,F2",-77.000947,38.964902,2530,"Routes: F1,F2"
530,"Z2V2,Z2V4,Z2V5,Z2VS,Z6,Z6V1,Z8,Z8V1,Z8V2,Z8V3,Z8V4,Z8V5,Z8V9",-77.011071,39.025746999999996,2531,"Routes: Z2V2,Z2V4,Z2V5,Z2VS,Z6,Z6V1,Z8,Z8V1,Z8V2,Z8V3,Z8V4,Z8V5,Z8V9"
531,"Z2V4,Z2V5,Z2VS,Z6,Z6C,Z8,Z8C,Z8V1,Z8V2,Z8V3,Z8V9",-77.010693,39.025853999999995,2532,"Routes: Z2V4,Z2V5,Z2VS,Z6,Z6C,Z8,Z8C,Z8V1,Z8V2,Z8V3,Z8V9"
532,"Z11V1,Z13,Z29V1,Z29V2,Z2V2,Z2V4,Z2V5,Z2VS,Z6,Z6V1,Z8,Z8V1,Z8V2,Z8V3,Z8V4,Z8V5,Z8V9,Z9,Z9V1,Z9V2",-77.02659399999999,38.998495,2533,"Routes: Z11V1,Z13,Z29V1,Z29V2,Z2V2,Z2V4,Z2V5,Z2VS,Z6,Z6V1,Z8,Z8V1,Z8V2,Z8V3,Z8V4,Z8V5,Z8V9,Z9,Z9V1,Z9V2"
533,"Z11,Z13,Z29,Z2V4,Z2V5,Z2VS,Z6,Z6C,Z8,Z8C,Z8V1,Z8V2,Z8V3,Z8V9,Z9,Z9C",-77.02614799999999,38.998754999999996,2534,"Routes: Z11,Z13,Z29,Z2V4,Z2V5,Z2VS,Z6,Z6C,Z8,Z8C,Z8V1,Z8V2,Z8V3,Z8V9,Z9,Z9C"
534,"Z2V2,Z2V4,Z2V5,Z2VS,Z6,Z6V1,Z8,Z8V1,Z8V2,Z8V3,Z8V4,Z8V5,Z8V9",-77.019974,39.00792,2535,"Routes: Z2V2,Z2V4,Z2V5,Z2VS,Z6,Z6V1,Z8,Z8V1,Z8V2,Z8V3,Z8V4,Z8V5,Z8V9"
535,,-77.03076,38.994279,2536,
536,,-77.433688,38.962705,2537,
537,"C8V1,C8V2,J4",-76.927322,38.978328999999995,2538,"Routes: C8V1,C8V2,J4"
538,"83,86,86V2,F6,F6V1",-76.927566,38.978362,2539,"Routes: 83,86,86V2,F6,F6V1"
539,"R11,R12",-76.927864,38.978004,2540,"Routes: R11,R12"
540,"B21,B24,C29V4",-76.751302,38.962403,2541,"Routes: B21,B24,C29V4"
541,"B29,B29V1",-76.72807900000001,38.946222999999996,2542,"Routes: B29,B29V1"
542,"B29,B29V1,B31",-76.727294,38.94599,2543,"Routes: B29,B29V1,B31"
543,"B21,B24,C29V4",-76.748129,38.95909,2544,"Routes: B21,B24,C29V4"
544,"B21,B24,B25,C29V4",-76.748526,38.95922,2545,"Routes: B21,B24,B25,C29V4"
545,"B21,B24,B25,C29V4",-76.754607,38.968022999999995,2546,"Routes: B21,B24,B25,C29V4"
546,"B21,B24,B25,C29V4",-76.751297,38.962137,2547,"Routes: B21,B24,B25,C29V4"
547,"B29,B29V1,B31",-76.723646,38.945142,2548,"Routes: B29,B29V1,B31"
