X,Y,OBJECTID,LATITUDE,LONGITUDE,ROUTES
-77.204529999611282,38.831696999431763,2001,38.831697,-77.20453,"16A,16B,16E,29C,29G,29K,29KV1,29N,3A"
-77.166547000430455,38.823334000070417,2002,38.823334,-77.166547,"29C,29G,29K,29KV1,29N"
-77.181216999511648,38.82738999995108,2003,38.82739,-77.181217,"29C,29G,29K,29KV1,29N"
-77.142189000170816,38.817771000101715,2004,38.817771,-77.142189,"17A,17B,17M,29C,29G,29K,29KV1,29N,7A,7AC,7F,7H"
-77.141610000292246,38.817881999713499,2005,38.817882,-77.14161,
-77.267386000528717,38.840386999473765,2006,38.840387,-77.267386,"29K,29KV1,29N"
-77.268421000194266,38.840889999689708,2007,38.84089,-77.268421,"29K,29KV1,29N"
-77.224258000012355,38.835263999972369,2008,38.835264,-77.224258,"29C,29K,29KV1,29N"
-77.174819000856687,38.825655999985138,2009,38.825656,-77.174819,"29C,29G,29K,29KV1,29N"
-77.262316999418374,38.840058000632411,2010,38.840058,-77.262317,"29K,29KV1,29N"
-77.196386000565383,38.83039200038818,2011,38.830392,-77.196386,"16A,16B,16E,29C,29G,29K,29KV1,29N"
-77.180424000091989,38.827414999785752,2012,38.827415,-77.180424,"29C,29G,29K,29KV1,29N"
-77.147774000435405,38.819372999836212,2013,38.819373,-77.147774,"17A,17B,17M,29C,29G,29K,29KV1,29N,7X"
-77.147459000298568,38.819081000646435,2014,38.819081,-77.147459,"17A,17B,17M,29C,29G,29K,29KV1,29N,7X"
-77.262263999610042,38.839785000345877,2015,38.839785,-77.262264,"29K,29KV1,29N"
-77.247568000339101,38.837851999951134,2016,38.837852,-77.247568,"29K,29KV1,29N"
-77.158734999988525,38.821412000128952,2017,38.821412,-77.158735,"17A,17B,17M,29C,29G,29K,29KV1,29N"
-77.239223999743089,38.837072000002884,2018,38.837072,-77.239224,"29K,29KV1,29N"
-77.239331000046988,38.836805999861909,2019,38.836806,-77.239331,"29K,29KV1,29N"
-77.242843999823961,38.837209000259335,2020,38.837209,-77.242844,"29K,29KV1,29N"
-77.242769000576061,38.837511999680636,2021,38.837512,-77.242769,"29K,29KV1,29N"
-77.170548000140258,38.824334000150031,2022,38.824334,-77.170548,"29C,29G,29K,29KV1,29N"
-77.207352999433496,38.832466000221572,2023,38.832466,-77.207353,"16A,16B,16E,29C,29G,29K,29KV1,29N,3A"
-77.206865999777975,38.832073999832616,2024,38.832074,-77.206866,"16A,16B,16E,29C,29G,29K,29KV1,29N,3A"
-77.208669000595663,38.832356999889967,2025,38.832357,-77.208669,"16A,16B,16E,29C,29G,29K,29KV1,29N,3A"
-76.995144000135966,38.781118999744436,2026,38.781119,-76.995144,"D13,D13C,D14,D14C"
-76.995189999629005,38.781298999450648,2027,38.781299,-76.99519,"D13,D14,D14V1"
-76.989890999643833,38.78759000013077,2028,38.78759,-76.989891,
-76.993105000326906,38.781597000143748,2029,38.781597,-76.993105,"D13,D13C,D14,D14C"
