,LINE,STOP,Latitude,Longitude,Text
46,Georgetown - Union Station,K STREET AND 19TH STREET NW,38.90245208474498,-77.04368517181155,K STREET AND 19TH STREET NW. Line: Georgetown - Union Station
47,Georgetown - Union Station,K STREET AND 16TH STREET NW,38.902455101421545,-77.03679213131203,K STREET AND 16TH STREET NW. Line: Georgetown - Union Station
48,Georgetown - Union Station,K STREET AND 11TH STREET NW,38.902443222758116,-77.02660660374973,K STREET AND 11TH STREET NW. Line: Georgetown - Union Station
49,Georgetown - Union Station,NEW YORK AVENUE AND 9TH STREET NW,38.90209867930064,-77.0246015974578,NEW YORK AVENUE AND 9TH STREET NW. Line: Georgetown - Union Station
50,Union Station - Navy Yard,8TH STREET AND E STREET SE,38.882939326691115,-76.99486969561293,8TH STREET AND E STREET SE. Line: Union Station - Navy Yard
51,Potomac Ave Metro to Skyland,GOOD HOPE ROAD AND MARBURY PLAZA SE,38.86392214354989,-76.97502427669873,GOOD HOPE ROAD AND MARBURY PLAZA SE. Line: Potomac Ave Metro to Skyland
52,Union Station - Navy Yard,MASSACHUSETTS AVE & 2ND ST NE,38.895250219041756,-77.0038004661827,MASSACHUSETTS AVE & 2ND ST NE. Line: Union Station - Navy Yard
53,Georgetown - Union Station,MASSACHUSETTS AVENUE AND 5TH STREET NW,38.901152100737725,-77.01874491143843,MASSACHUSETTS AVENUE AND 5TH STREET NW. Line: Georgetown - Union Station
54,Georgetown - Union Station,MASSACHUSETTS AVENUE AND NEW JERSEY AVENUE NW,38.899230116057865,-77.01307155719621,MASSACHUSETTS AVENUE AND NEW JERSEY AVENUE NW. Line: Georgetown - Union Station
55,Georgetown - Union Station,MASSACHUSETTS AVENUE AND NEW JERSEY AVENUE NW,38.898868046031616,-77.01283577829194,MASSACHUSETTS AVENUE AND NEW JERSEY AVENUE NW. Line: Georgetown - Union Station
56,Georgetown - Union Station,MASSACHUSETTS AVENUE AND 7TH STREET NW,38.901951509544055,-77.02155018402797,MASSACHUSETTS AVENUE AND 7TH STREET NW. Line: Georgetown - Union Station
57,Georgetown - Union Station,K STREET AND 17TH STREET NW,38.90245274661653,-77.03976052004032,K STREET AND 17TH STREET NW. Line: Georgetown - Union Station
58,Dupont Circle - Rosslyn,NEW HAMPSHIRE AVENUE AND M STREET NW,38.90565580188565,-77.0473222899935,NEW HAMPSHIRE AVENUE AND M STREET NW. Line: Dupont Circle - Rosslyn
59,Dupont Circle - Rosslyn,M STREET AND 33RD STREET NW,38.90521423445223,-77.06581802024537,M STREET AND 33RD STREET NW. Line: Dupont Circle - Rosslyn
60,Union Station - Navy Yard,INDEPENDENCE AVENUE AND 2ND STREET SE,38.88750063138907,-77.00368979880696,INDEPENDENCE AVENUE AND 2ND STREET SE. Line: Union Station - Navy Yard
61,Union Station - Navy Yard,PENNSYLVANIA AVENUE AND 5TH STREET SE,38.88639596490266,-76.99991367660493,PENNSYLVANIA AVENUE AND 5TH STREET SE. Line: Union Station - Navy Yard
62,Woodley Park - Adams Morgan - McPherson Square,I STREET AND 14TH STREET NW,38.90144859431314,-77.03169626797059,I STREET AND 14TH STREET NW. Line: Woodley Park - Adams Morgan - McPherson Square
63,Georgetown - Union Station,MASSACHUSETTS AVENUE AND 5TH STREET NW,38.90110212140788,-77.01910183908423,MASSACHUSETTS AVENUE AND 5TH STREET NW. Line: Georgetown - Union Station
64,Union Station - Navy Yard,MASSACHUSETTS AVENUE AND COLUMBUS CIRCLE,38.89598512808331,-77.00518441251555,MASSACHUSETTS AVENUE AND COLUMBUS CIRCLE. Line: Union Station - Navy Yard
65,Potomac Ave Metro to Skyland,POTOMAC AVENUE and PENNSYLVANIA AVENUE SE,38.88047005675015,-76.98532062620679,POTOMAC AVENUE and PENNSYLVANIA AVENUE SE. Line: Potomac Ave Metro to Skyland
66,Potomac Ave Metro to Skyland,PENNSYLVANIA AVENUE AND E STREET SE,38.88275042135063,-76.99095344390656,PENNSYLVANIA AVENUE AND E STREET SE. Line: Potomac Ave Metro to Skyland
67,Potomac Ave Metro to Skyland,ANACOSTIA METRORAIL STATION,38.862287343964546,-76.99501254922188,ANACOSTIA METRORAIL STATION. Line: Potomac Ave Metro to Skyland
68,Union Station - Navy Yard,600 M STREET SE (NAVY YARD ENTRANCE),38.87660926441095,-76.99761628208478,600 M STREET SE (NAVY YARD ENTRANCE). Line: Union Station - Navy Yard
69,Woodley Park - Adams Morgan - McPherson Square,14TH STREET AND RHODE ISLAND AVENUE NW,38.909201498032466,-77.03180827484044,14TH STREET AND RHODE ISLAND AVENUE NW. Line: Woodley Park - Adams Morgan - McPherson Square
70,Woodley Park - Adams Morgan - McPherson Square,14TH STREET AND U STREET NW,38.917461575809696,-77.0318059976409,14TH STREET AND U STREET NW. Line: Woodley Park - Adams Morgan - McPherson Square
71,Woodley Park - Adams Morgan - McPherson Square,14TH STREET AND K STREET NW,38.90226042578806,-77.0318103558228,14TH STREET AND K STREET NW. Line: Woodley Park - Adams Morgan - McPherson Square
72,Potomac Ave Metro to Skyland,PENNSYLVANIA AVENUE AND 12TH STREET SE,38.88211752542773,-76.99040573642027,PENNSYLVANIA AVENUE AND 12TH STREET SE. Line: Potomac Ave Metro to Skyland
73,Union Station - Navy Yard,INDEPENDENCE AVENUE AND FIRST STREET SE,38.88773268074621,-77.00563031937774,INDEPENDENCE AVENUE AND FIRST STREET SE. Line: Union Station - Navy Yard
74,National Mall,15TH STREET AND JEFFERSON DRIVE SW,38.88841653412917,-77.03354749848314,15TH STREET AND JEFFERSON DRIVE SW. Line: National Mall
75,National Mall,WEST BASIN DRIVE NEAR INDEPENDENCE AVENUE SW,38.885439338628565,-77.04488787805491,WEST BASIN DRIVE NEAR INDEPENDENCE AVENUE SW. Line: National Mall
76,National Mall,LINCOLN MEMORIAL CIRCLE SW,38.88848248094671,-77.05062605310809,LINCOLN MEMORIAL CIRCLE SW. Line: National Mall
77,National Mall,CONSTITUTION AVENUE AND 21ST STREET NW,38.89199190100639,-77.04704798640442,CONSTITUTION AVENUE AND 21ST STREET NW. Line: National Mall
78,National Mall,JEFFERSON DRIVE AND 12TH STREET SW,38.88860565799092,-77.02834226113053,JEFFERSON DRIVE AND 12TH STREET SW. Line: National Mall
79,National Mall,3RD STREET NEAR MADISON DRIVE NW,38.88993971485017,-77.01504386844555,3RD STREET NEAR MADISON DRIVE NW. Line: National Mall
80,Woodley Park - Adams Morgan - McPherson Square,COLUMBIA ROAD AND ONTARIO ROAD NW,38.92409065327577,-77.04043235280581,COLUMBIA ROAD AND ONTARIO ROAD NW. Line: Woodley Park - Adams Morgan - McPherson Square
81,National Mall,JEFFERSON DRIVE AND 7TH STREET SW,38.888662027424736,-77.02262647363106,JEFFERSON DRIVE AND 7TH STREET SW. Line: National Mall
82,Union Station - Navy Yard,M STREET AND NEW JERSEY AVENUE SE,38.876606186399066,-77.00483684729214,M STREET AND NEW JERSEY AVENUE SE. Line: Union Station - Navy Yard
83,Woodley Park - Adams Morgan - McPherson Square,ADAMS MILL ROAD AND COLUMBIA ROAD NW,38.923111949267245,-77.0427741546563,ADAMS MILL ROAD AND COLUMBIA ROAD NW. Line: Woodley Park - Adams Morgan - McPherson Square
84,Georgetown - Union Station,35TH STREET AND WISCONSIN AVENUE NW,38.917627841522105,-77.06953284532526,35TH STREET AND WISCONSIN AVENUE NW. Line: Georgetown - Union Station
85,Georgetown - Union Station,WISCONSIN AVENUE AND Q STREET NW,38.911058736819776,-77.06518004634943,WISCONSIN AVENUE AND Q STREET NW. Line: Georgetown - Union Station
86,Georgetown - Union Station,WISCONSIN AVENUE AND R STREET NW,38.914026639961854,-77.0667377530584,WISCONSIN AVENUE AND R STREET NW. Line: Georgetown - Union Station
87,Georgetown - Union Station,K STREET AND 16TH STREET NW,38.902606983765786,-77.03698546531054,K STREET AND 16TH STREET NW. Line: Georgetown - Union Station
88,Union Station - Navy Yard,PENNSYLVANIA AVENUE AND 8TH STREET SE,38.88425754055433,-76.99558106709858,PENNSYLVANIA AVENUE AND 8TH STREET SE. Line: Union Station - Navy Yard
89,Georgetown - Union Station,WISCONSIN AVENUE AND P STREET NW,38.90907346563364,-77.06412704733005,WISCONSIN AVENUE AND P STREET NW. Line: Georgetown - Union Station
90,Georgetown - Union Station,WISCONSIN AVENUE AND N STREET NW,38.90907346563364,-77.06412704733005,WISCONSIN AVENUE AND N STREET NW. Line: Georgetown - Union Station
91,Union Station - Navy Yard,PENNSYLVANIA AVENUE AND 5TH STREET SE,38.885869723167794,-76.99957120347878,PENNSYLVANIA AVENUE AND 5TH STREET SE. Line: Union Station - Navy Yard
92,Georgetown - Union Station,WISCONSIN AVENUE AND R STREET NW,38.913880779480266,-77.06686622351222,WISCONSIN AVENUE AND R STREET NW. Line: Georgetown - Union Station
93,National Mall,CONSTITUTION AVENUE AND 18TH STREET NW,38.89188960611825,-77.041407301408,CONSTITUTION AVENUE AND 18TH STREET NW. Line: National Mall
94,National Mall Route,15TH STREET NEAR MAINE AVENUE SW,38.885706581025225,-77.0338479056518,15TH STREET NEAR MAINE AVENUE SW. Line: National Mall Route
95,Union Station - Navy Yard,1ST STREET AND MARYLAND AVENUE NE,38.89087799764794,-77.00607434861857,1ST STREET AND MARYLAND AVENUE NE. Line: Union Station - Navy Yard
96,Union Station - Navy Yard; Potomac Avenue Metro to Skyland,8TH STREET AND G STREET SE,38.88137761453953,-76.99508204560391,8TH STREET AND G STREET SE. Line: Union Station - Navy Yard; Potomac Avenue Metro to Skyland
97,Georgetown - Union Station,WISCONSIN AVENUE AND  34TH STREET NW,38.915897110224364,-77.06802598762194,WISCONSIN AVENUE AND  34TH STREET NW. Line: Georgetown - Union Station
98,Woodley Park - Adams Morgan - McPherson Square,13TH STREET AND K STREET NW,38.902775887798974,-77.02977074770945,13TH STREET AND K STREET NW. Line: Woodley Park - Adams Morgan - McPherson Square
99,Georgetown - Union Station,K STREET AND 12TH STREET NW,38.90245748524107,-77.02892790493338,K STREET AND 12TH STREET NW. Line: Georgetown - Union Station
100,Georgetown - Union Station,NORTH CAPITOL STREET AND MASSACHUSETTS AVENUE NW,38.897815691128,-77.00920349435506,NORTH CAPITOL STREET AND MASSACHUSETTS AVENUE NW. Line: Georgetown - Union Station
101,Dupont Circle - Rosslyn,M STREET AND 31ST STREET NW,38.90529412856529,-77.06157664593715,M STREET AND 31ST STREET NW. Line: Dupont Circle - Rosslyn
102,Georgetown - Union Station,M STREET AND THOMAS JEFFERSON STREET NW,38.90511752205028,-77.06042282647125,M STREET AND THOMAS JEFFERSON STREET NW. Line: Georgetown - Union Station
103,Georgetown - Union Station,MASSACHUSETTS AVENUE AND 7TH STREET NW,38.90218897882085,-77.02171451094361,MASSACHUSETTS AVENUE AND 7TH STREET NW. Line: Georgetown - Union Station
104,Dupont Circle - Rosslyn,NEW HAMPSHIRE AVENUE AND M STREET NW,38.90508316200719,-77.04753379757237,NEW HAMPSHIRE AVENUE AND M STREET NW. Line: Dupont Circle - Rosslyn
105,Dupont Circle - Rosslyn,M STREET AND 30TH STREET NW,38.90531683533371,-77.05948020524082,M STREET AND 30TH STREET NW. Line: Dupont Circle - Rosslyn
106,Potomac Ave Metro to Skyland,GOOD HOPE ROAD AND 14TH STREET SE,38.86673531057916,-76.98526341405613,GOOD HOPE ROAD AND 14TH STREET SE. Line: Potomac Ave Metro to Skyland
107,Potomac Ave Metro to Skyland,GOOD HOPE ROAD AND 18TH STREET SE,38.865810600094335,-76.97941330705301,GOOD HOPE ROAD AND 18TH STREET SE. Line: Potomac Ave Metro to Skyland
108,Potomac Ave Metro to Skyland,ANACOSTIA METRORAIL STATION,38.86243488374617,-76.99494459292974,ANACOSTIA METRORAIL STATION. Line: Potomac Ave Metro to Skyland
109,Dupont Circle - Rosslyn,19TH STREET AND N STREET NW,38.907525614520885,-77.04351950383588,19TH STREET AND N STREET NW. Line: Dupont Circle - Rosslyn
110,Woodley Park - Adams Morgan - McPherson Square,14TH STREET AND P STREET NW,38.90990748093722,-77.03208825430407,14TH STREET AND P STREET NW. Line: Woodley Park - Adams Morgan - McPherson Square
111,Dupont Circle - Rosslyn,M STREET AND 28TH STREET NW,38.905329907472975,-77.05641796695275,M STREET AND 28TH STREET NW. Line: Dupont Circle - Rosslyn
112,Potomac Ave Metro to Skyland,GOOD HOPE ROAD AND 25TH STREET SE,38.860758908832985,-76.9689557049375,GOOD HOPE ROAD AND 25TH STREET SE. Line: Potomac Ave Metro to Skyland
113,Potomac Ave Metro to Skyland,GOOD HOPE ROAD AND MARBURY PLAZA SE,38.864173391346974,-76.97526875910954,GOOD HOPE ROAD AND MARBURY PLAZA SE. Line: Potomac Ave Metro to Skyland
114,Georgetown - Union Station,35TH STREET AND WISCONSIN AVENUE NW,38.917709541971995,-77.06954242729955,35TH STREET AND WISCONSIN AVENUE NW. Line: Georgetown - Union Station
115,Dupont Circle - Rosslyn,NORTH FORT MYER DRIVE & 19TH ST,38.89715436279773,-77.07232643409502,NORTH FORT MYER DRIVE & 19TH ST. Line: Dupont Circle - Rosslyn
116,Georgetown - Union Station,PENNSYLVANIA AVENUE AND 26TH STREET NW,38.90386390674453,-77.05432542653155,PENNSYLVANIA AVENUE AND 26TH STREET NW. Line: Georgetown - Union Station
117,Georgetown - Union Station,K STREET AND 14TH STREET NW,38.902449825604506,-77.03221016755137,K STREET AND 14TH STREET NW. Line: Georgetown - Union Station
118,Georgetown - Union Station,K STREET AND 12TH STREET NW,38.90260919938998,-77.02889414222071,K STREET AND 12TH STREET NW. Line: Georgetown - Union Station
119,Potomac Ave Metro to Skyland,GOOD HOPE ROAD AND 13TH STREET SE,38.8672487519729,-76.98736976348555,GOOD HOPE ROAD AND 13TH STREET SE. Line: Potomac Ave Metro to Skyland
120,Dupont Circle - Rosslyn,M STREET AND POTOMAC STREET NW,38.90503611390072,-77.0654694030217,M STREET AND POTOMAC STREET NW. Line: Dupont Circle - Rosslyn
121,Dupont Circle - Rosslyn,PENNSYLVANIA AVENUE AND 28TH STREET NW,38.904880289939854,-77.05717861663379,PENNSYLVANIA AVENUE AND 28TH STREET NW. Line: Dupont Circle - Rosslyn
122,Union Station - Navy Yard; Potomac Ave Metro to Skyland,8TH STREET AND G STREET SE,38.88144334035713,-76.99508305385244,8TH STREET AND G STREET SE. Line: Union Station - Navy Yard; Potomac Ave Metro to Skyland
123,Potomac Ave Metro to Skyland,NAYLOR ROAD AND GOOD HOPE ROAD SE,38.85981664390224,-76.96809014406925,NAYLOR ROAD AND GOOD HOPE ROAD SE. Line: Potomac Ave Metro to Skyland
124,Potomac Ave Metro to Skyland,MLK JR BLVD AND W STREET SE,38.86501331577147,-76.98980605001843,MLK JR BLVD AND W STREET SE. Line: Potomac Ave Metro to Skyland
125,Union Station - Navy Yard,600 M STREET SE (NAVY YARD ENTRANCE),38.876390439857786,-76.99735981861144,600 M STREET SE (NAVY YARD ENTRANCE). Line: Union Station - Navy Yard
126,Georgetown - Union Station,MASSACHUSETTS AVENUE AND 1ST STREET NE,38.896880552507454,-77.00803630447042,MASSACHUSETTS AVENUE AND 1ST STREET NE. Line: Georgetown - Union Station
127,Georgetown - Union Station,PENNSYLVANIA AVENUE AND 24TH STREET NW,38.90290058288491,-77.05156132423448,PENNSYLVANIA AVENUE AND 24TH STREET NW. Line: Georgetown - Union Station
128,Georgetown - Union Station,WISCONSIN AVENUE AND DUMBARTON STREET NW,38.907405113575905,-77.06324841115915,WISCONSIN AVENUE AND DUMBARTON STREET NW. Line: Georgetown - Union Station
129,Georgetown - Union Station,WISCONSIN AVENUE AND N STREET NW,38.9070170358516,-77.06322802544494,WISCONSIN AVENUE AND N STREET NW. Line: Georgetown - Union Station
130,Georgetown - Union Station,MASSACHUSETTS AVENUE AND COLUMBUS CIRCLE,38.89598192107263,-77.00518513491542,MASSACHUSETTS AVENUE AND COLUMBUS CIRCLE. Line: Georgetown - Union Station
131,Georgetown - Union Station,UNION STATION,38.89828570244681,-77.0061346783699,UNION STATION. Line: Georgetown - Union Station
132,Dupont Circle - Rosslyn,L STREET AND 24TH STREET NW,38.90368856419121,-77.05122192054604,L STREET AND 24TH STREET NW. Line: Dupont Circle - Rosslyn
133,Dupont Circle - Rosslyn,M STREET AND WISCONSIN AVENUE NW,38.90526821376997,-77.06320344015515,M STREET AND WISCONSIN AVENUE NW. Line: Dupont Circle - Rosslyn
134,Dupont Circle - Rosslyn,M STREET AND WISCONSIN AVENUE NW,38.90509118900209,-77.06232399802754,M STREET AND WISCONSIN AVENUE NW. Line: Dupont Circle - Rosslyn
135,Potomac Ave Metro to Skyland,1225 GOOD HOPE ROAD SE,38.86721456765133,-76.98785070294558,1225 GOOD HOPE ROAD SE. Line: Potomac Ave Metro to Skyland
136,Union Station - Navy Yard; Potomac Ave Metro to Skyland,8TH STREET AND L STREET SE,38.87723655555293,-76.99508752267994,8TH STREET AND L STREET SE. Line: Union Station - Navy Yard; Potomac Ave Metro to Skyland
137,Woodley Park - Adams Morgan - McPherson Square,COLUMBIA ROAD BETWEEN 15TH AND 16TH STREETS NW,38.9268977234749,-77.03593779314235,COLUMBIA ROAD BETWEEN 15TH AND 16TH STREETS NW. Line: Woodley Park - Adams Morgan - McPherson Square
138,National Mall,MADISON DRIVE AND 4TH STREET NW,38.890677532609494,-77.01732549799166,MADISON DRIVE AND 4TH STREET NW. Line: National Mall
139,National Mall,MADISON DRIVE AND 7TH STREET NW,38.890608639000334,-77.02243778841334,MADISON DRIVE AND 7TH STREET NW. Line: National Mall
140,National Mall,MADISON DRIVE AND 12TH STREET NW,38.89052513171713,-77.02870342866386,MADISON DRIVE AND 12TH STREET NW. Line: National Mall
141,National Mall,EAST BASIN DRIVE SW AT JEFFERSON MEMORIAL,38.87993349402905,-77.03740451505257,EAST BASIN DRIVE SW AT JEFFERSON MEMORIAL. Line: National Mall
142,National Mall,15TH STREET AND MADISON DRIVE NW,38.89034055381524,-77.03332848729806,15TH STREET AND MADISON DRIVE NW. Line: National Mall
143,National Mall,E STREET AND COLUMBUS CIRCLE NE,38.896434273333924,-77.00795747227419,E STREET AND COLUMBUS CIRCLE NE. Line: National Mall
144,Union Station - Navy Yard,PENNSYLVANIA AVENUE AND 7TH STREET SE,38.8847884783713,-76.9959522976832,PENNSYLVANIA AVENUE AND 7TH STREET SE. Line: Union Station - Navy Yard
145,Woodley Park - Adams Morgan - McPherson Square,14TH STREET AND U STREET NW,38.9172016968141,-77.03210606403971,14TH STREET AND U STREET NW. Line: Woodley Park - Adams Morgan - McPherson Square
146,Woodley Park - Adams Morgan - McPherson Square,MOUNT PLEASANT STREET AND IRVING STREET NW,38.92859638871789,-77.03717992305427,MOUNT PLEASANT STREET AND IRVING STREET NW. Line: Woodley Park - Adams Morgan - McPherson Square
147,Georgetown - Union Station; Dupont Circle - Rosslyn,PENNSYLVANIA AVENUE AND 28TH STREET NW,38.90488902906775,-77.05721907309234,PENNSYLVANIA AVENUE AND 28TH STREET NW. Line: Georgetown - Union Station; Dupont Circle - Rosslyn
