,Apartment_link,Education Index,Latitude,Longitude,Price Index,Safety Index,Transport Index,Apt Score,5_STAR_CLASSIFICATION
7,https://washingtondc.craigslist.org/doc/apa/5332200228.html,4.85044570768499,38.896117,-76.982214,1.6949152542372876,5.0,3.375363029774588,39.62161540706685,4.402401711896316
28,https://washingtondc.craigslist.org/doc/apa/5331939326.html,5.0,38.9136494,-77.0226943,1.7118644067796613,4.255102040816326,4.013154149743695,37.74542671978866,4.193936302198741
11,https://washingtondc.craigslist.org/doc/apa/5332153114.html,4.324882919185314,38.90093579999999,-76.985929,2.8813559322033893,4.132653061224491,4.8053070571687675,37.191923991826066,4.132435999091785
5,https://washingtondc.craigslist.org/doc/apa/5309037585.html,4.077455023645419,38.8801,-76.93230299999998,4.576271186440678,3.663265306122449,5.0,36.46169748186673,4.051299720207414
25,https://washingtondc.craigslist.org/doc/apa/5307285254.html,3.9103231587051033,38.844595,-76.993884,5.0,3.8979591836734695,4.138551618181196,36.46135782899039,4.051261980998932
8,https://washingtondc.craigslist.org/doc/apa/5324203181.html,4.630786292204529,38.894778,-76.9789964,0.016949152542371948,4.73469387755102,3.4340918458688834,36.282175385228925,4.031352820580992
4,https://washingtondc.craigslist.org/doc/apa/5332251171.html,4.404386353567567,38.87769900000001,-76.99444199999998,1.8644067796610169,4.0816326530612255,4.548203121144113,35.95229957375273,3.994699952639192
6,https://washingtondc.craigslist.org/doc/apa/5332178633.html,3.2521163486286637,38.9264875,-76.9984283,2.4644067796610165,4.86734693877551,3.9205639246563484,35.6107075053054,3.9567452783672663
16,https://washingtondc.craigslist.org/doc/apa/5332126696.html,4.365986826111253,38.857296399999996,-76.980463,3.050847457627119,3.5816326530612246,4.433424687264326,34.908763235470104,3.878751470607789
42,https://washingtondc.craigslist.org/doc/apa/5310695476.html,4.534206805862828,38.91490599999999,-77.01825699999998,0.6949152542372881,4.020408163265306,4.5053608736794875,34.88452919856648,3.8760587998407203
